title,url,subject,modality,price,duration,registration,description
The Consultant's Toolkit,https://pll.harvard.edu/course/consultants-toolkit-0,Business,Online Live,"$2,950",,Register by Apr 27,Refine your consulting abilities through proven techniques to improve organizational effectiveness.
AI and the Law: Navigating the New Legal Landscape,https://pll.harvard.edu/course/ai-and-law-navigating-new-legal-landscape,Social Sciences,In-Person,"$7,800",,Starts May 10,
Data Privacy and Technology,https://pll.harvard.edu/course/data-privacy-and-technology,Data Science,Online,$950,5 weeks,Opens Apr 8,
Advanced Management Development Program in Real Estate,https://pll.harvard.edu/course/advanced-management-development-program-real-estate,Business,In-Person,"$52,000",,Register by May 14,
Persuasive Leadership: Advanced Storytelling and Investor Pitching in the Age of AI,https://pll.harvard.edu/course/persuasive-leadership-advanced-storytelling-and-investor-pitching-age-ai,Business,In-Person,"$1,750 - $1,950",,Register by Mar 31,
Future Proof with AI,https://pll.harvard.edu/course/future-proof-ai,Business,Online,$279,,Available now,
AI Strategy for Business Leaders: From Hype to Impact,https://pll.harvard.edu/course/ai-strategy-business-leaders-hype-impact-0,Business,In-Person,"$3,200",,Register by Apr 14,Leverage new technologies to build value for your organization.
Negotiation and Leadership,https://pll.harvard.edu/course/negotiation-and-leadership-10,Business,In-Person,"$5,497",,Starts Mar 23,
Innovation Strategy: Tools and Frameworks for Business,https://pll.harvard.edu/course/innovation-strategy-tools-and-frameworks-business,Business,Online,"$1,850",6 weeks,Opens Apr 1,
"Convergent Leadership: Bridging Clinical Care, Business, and Technology",https://pll.harvard.edu/course/convergent-leadership-bridging-clinical-care-business-and-technology,Health & Medicine,In-Person,"$15,000",,Register by Mar 6,
Impactful Leadership: Enhancing your Strategic Influence,https://pll.harvard.edu/course/impactful-leadership-enhancing-your-strategic-influence,Social Sciences,In-Person,"$5,900",,Register by Mar 6,
Authentic Leader Development,https://pll.harvard.edu/course/authentic-leader-development,Business,In-Person,"$16,000",1 week,Starts May 31,
Instructional Leadership Certificate (ILC),https://pll.harvard.edu/course/instructional-leadership-certificate-ilc,Education & Teaching,Online,"$399 - $1,596",,Register by Mar 4,
Health and Wellness: Designing a Sustainable Nutrition Plan,https://pll.harvard.edu/course/health-and-wellness-designing-sustainable-nutrition-plan,Health & Medicine,Online,"$3,100",,Register by Mar 5,
Design Thinking and Innovation,https://pll.harvard.edu/course/design-thinking-and-innovation,Art & Design,Online,"$1,850",7 weeks,Available now,
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",https://pll.harvard.edu/course/prescription-drug-regulation-cost-and-access-current-controversies-context,Health & Medicine,Online,Free*,8 weeks,Available now,
Strategies for Leading Successful Change Initiatives: Mastery Session,https://pll.harvard.edu/course/strategies-leading-successful-change-initiatives-mastery-session-0/2026-12,Business,In-Person,"$4,200",,Register by Nov 23,"Master the key skills requisite to lead your teams through critical change initiatives. You'll learn to build trust, gain buy-in, and create inspiration and innovation that will lead to your team's success."
The Evolving Role of Digital Assets in the Global Financial System,https://pll.harvard.edu/course/evolving-role-digital-assets-global-financial-system,Social Sciences,In-Person,"$8,000",,Starts Apr 21,
Reducing Racial Disparities in Health Care,https://pll.harvard.edu/course/reducing-racial-disparities-health-care,Health & Medicine,Online,$950,5 weeks,Opens May 27,
AI for Leaders,https://pll.harvard.edu/course/ai-leaders,Business,Online,"$1,850",,Available now,
Data Science and AI for Decision Making,https://pll.harvard.edu/course/data-science-and-ai-decision-making,Business,Online,"$1,850",,Available now,
Beyond Strategic Planning: From Implementation to Sustainment,https://pll.harvard.edu/course/beyond-strategic-planning-implementation-sustainment-0,Business,In-Person,"$3,200",,Register by Apr 21,"Successfully navigate the challenges inherent in making your organizational, departmental, and project-specific plans come to life."
Leadership for the 21st Century,https://pll.harvard.edu/course/leadership-21st-century,Social Sciences,In-Person,"$12,900",1 week,Register by Jul 20,
Immuno-oncology,https://pll.harvard.edu/course/immuno-oncology,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Comparative Tax Policy and Administration,https://pll.harvard.edu/course/comparative-tax-policy-and-administration,Social Sciences,In-Person,"$13,900",2 weeks,Register by Jun 15,
Executive Leadership: Skills Experienced Leaders Need to Succeed,https://pll.harvard.edu/course/executive-leadership-skills-experienced-leaders-need-succeed-0/2026-10,Business,In-Person,"$5,100",,Register by Oct 18,Strengthen your executive vision and presence to enhance your influence and lead your organization to success.
Management Essentials,https://pll.harvard.edu/course/management-essentials,Business,Online,"$1,850",8 weeks,Available now,
Ascending the Peak: Finding the Leader Within—Virtual,https://pll.harvard.edu/course/ascending-peak-finding-leader-within-virtual,Business,Online Live,"$6,000",8 weeks,Starts Apr 1,
Improving Global Health: Focusing on Quality and Safety,https://pll.harvard.edu/course/improving-global-health-focusing-quality-and-safety,Health & Medicine,Online,Free*,10 weeks,Available now,
Brand Revitalization: A Comprehensive Brand Strategy Course,https://pll.harvard.edu/course/brand-revitalization-comprehensive-brand-strategy-course-0,Business,In-Person,"$3,200",,Register by Sep 13,"Develop a brand strategy to harness your brand's core purpose, help it stay fresh, and ensure customer loyalty."
Leadership for Purposeful Change: Creating Public Value,https://pll.harvard.edu/course/leadership-purposeful-change-creating-public-value,Social Sciences,Online,Free*,7 weeks,Available now,
Women Leaders: Advancing Together,https://pll.harvard.edu/course/women-leaders-advancing-together-0/2026-09,Business,In-Person,"$6,450",,Register by Aug 16,"A leadership program for rising women leaders and senior managers to collaborate, mentor, and advance."
Advances in Immunological Therapeutics – Vol 1 (2023 advances),https://pll.harvard.edu/course/advances-immunological-therapeutics-vol-1-2023-advances,Health & Medicine,Online,$495,,Available now,
An Introduction to Tai Chi,https://pll.harvard.edu/course/introduction-tai-chi,Health & Medicine,Online,$30,2 weeks,Available now,
Emerging Women Executives in Health Care,https://pll.harvard.edu/course/emerging-women-executives-health-care-0,Health & Medicine,In-Person,"$4,900",,Register by May 29,
"Principles, Statistical and Computational Tools for Reproducible Data Science",https://pll.harvard.edu/course/principles-statistical-and-computational-tools-reproducible-data-science,Data Science,Online,Free*,8 weeks,Available now,
Leadership in Law Firms,https://pll.harvard.edu/course/leadership-law-firms,Business,In-Person,"$19,000",1 week,Register by Mar 13,
Data Visualization with AI: Turning Complexity into Clarity,https://pll.harvard.edu/course/data-visualization-ai-turning-complexity-clarity,Data Science,In-Person,"$3,200",,Register by May 24,
Applications of TinyML,https://pll.harvard.edu/course/applications-tinyml,Computer Science,Online,Free*,6 weeks,Available now,
